Daily Time Spent on Site,Age,Area Income,Daily Internet Usage,Ad Topic Line,City,Male,Country,Timestamp,Clicked on Ad
78.37,24,55015.08,207.27,Quality-Focused Zero-Defect Budgetary Management,Pearsonfort,0,Pakistan,23-01-2016 04:47,0
81.46,29,51636.12,231.54,Intuitive Fresh-Thinking Moderator,Sellerstown,0,Ireland,29-02-2016 11:00,0
47.48,31,29359.2,141.34,Reverse-Engineered 24Hour Hardware,Yuton,0,Eritrea,30-06-2016 00:19,1
75.15,33,71296.67,219.49,Synchronized Zero Tolerance Product,Smithtown,1,France,19-06-2016 18:19,0
78.76,24,46422.76,219.98,Reactive Interactive Protocol,Joanntown,1,Austria,08-01-2016 08:08,0
44.96,50,52802,132.71,Focused Fresh-Thinking Graphic Interface,South Peter,1,Heard Island and McDonald Islands,02-01-2016 12:25,1
39.56,41,59243.46,143.13,Ameliorated Exuding Solution,Port Mitchell,1,Western Sahara,13-05-2016 11:57,1
39.76,28,35350.55,196.83,Integrated Maximized Service-Desk,Pottermouth,1,Liberia,08-02-2016 14:02,1
57.11,22,59677.64,207.17,Self-Enabling Tertiary Challenge,Lake Jonathanview,1,Dominican Republic,07-06-2016 23:46,0
83.26,40,70225.6,187.76,Decentralized Foreground Infrastructure,Alanview,1,Tonga,02-01-2016 14:36,0
69.42,25,65791.17,213.38,Quality-Focused Hybrid Frame,Carterport,0,Lao People's Democratic Republic,13-02-2016 04:16,0
50.6,30,34191.13,129.88,Realigned Reciprocal Framework,New Daniellefort,1,United States of America,03-05-2016 12:57,1
46.2,37,51315.38,119.3,Distributed Maximized Ability,Welchshire,0,Belgium,03-04-2016 11:38,1
66.88,35,62790.96,119.47,Polarized Bifurcated Array,Russellville,1,Indonesia,23-03-2016 19:58,1
83.97,40,66291.67,158.42,Progressive Asynchronous Adapter,West Lisa,1,Croatia,02-02-2016 11:49,0
76.56,30,68030.18,213.75,Business-Focused High-Level Hardware,Greentown,0,Brunei Darussalam,08-03-2016 10:39,0
35.49,48,43974.49,159.77,Fully-Configurable Holistic Throughput,Timothyport,0,American Samoa,08-04-2016 14:35,1
80.29,31,49457.48,244.87,Ameliorated Contextually-Based Collaboration,Teresahaven,1,Netherlands Antilles,30-06-2016 00:40,0
50.19,40,33987.27,117.3,Progressive Uniform Budgetary Management,Lake Stephenborough,0,Thailand,25-03-2016 19:02,1
59.12,33,28210.03,124.54,Synergistic Stable Infrastructure,Silvaton,0,Greece,12-05-2016 21:32,1
59.88,30,75535.14,193.63,Reverse-Engineered Content-Based Intranet,West Michaelstad,1,French Polynesia,02-03-2016 05:11,0
59.7,28,49158.5,120.25,Expanded Zero Administration Attitude,Florestown,0,Guernsey,10-05-2016 14:12,1
67.8,30,39809.69,117.75,Team-Oriented 6Thgeneration Extranet,New Jay,1,Isle of Man,03-03-2016 02:59,1
81.59,35,65826.53,223.16,Managed Disintermediate Capability,North Lisachester,0,Holy See (Vatican City State),04-07-2016 11:03,0
81.1,29,61172.07,216.49,Front-Line Dynamic Model,Port Stacy,1,El Salvador,08-07-2016 03:47,0
41.7,39,42898.21,126.95,Innovative Regional Structure,Jensenton,0,China,27-05-2016 05:35,1
73.94,27,68333.01,173.49,Function-Based Incremental Standardization,North Alexandra,0,Myanmar,10-02-2016 13:46,0
58.35,37,70232.95,132.63,Universal Asymmetric Workforce,Rivasland,0,Macao,12-06-2016 21:21,1
51.56,46,63102.19,124.85,Business-Focused Client-Driven Forecast,Helenborough,0,Australia,07-01-2016 13:58,1
79.81,37,51847.26,253.17,Realigned Global Initiative,Garnerberg,0,United States Virgin Islands,13-05-2016 14:12,0
66.17,26,63580.22,228.7,Business-Focused Maximized Complexity,North Anaport,0,Mexico,02-05-2016 00:01,0
58.21,37,47575.44,105.94,Open-Source Global Strategy,Pattymouth,0,Djibouti,07-02-2016 17:06,1
66.12,49,39031.89,113.8,Stand-Alone Motivating Moratorium,South Alexisborough,0,Cote d'Ivoire,15-02-2016 07:27,1
80.47,42,70505.06,215.18,Grass-Roots Multimedia Policy,East Jennifer,1,Mali,21-02-2016 05:23,0
77.05,31,62161.26,236.64,Upgradable Local Migration,Hallfort,0,Jamaica,20-03-2016 22:27,0
49.99,41,61068.26,121.07,Profound Bottom-Line Standardization,New Charleschester,0,Romania,24-03-2016 09:34,1
80.3,58,49090.51,173.43,Managed Client-Server Access,East Breannafurt,0,Cayman Islands,04-04-2016 20:01,1
79.36,33,62330.75,234.72,Cross-Platform Directional Intranet,East Susanland,1,Gambia,02-01-2016 04:50,0
57.86,30,18819.34,166.86,Horizontal Modular Success,Estesfurt,0,Algeria,08-07-2016 17:14,1
70.29,26,62053.37,231.37,Vision-Oriented Multi-Tasking Success,Shirleyfort,1,Puerto Rico,28-03-2016 19:48,0
84.53,33,61922.06,215.18,Optional Multi-State Hardware,Douglasview,1,Norfolk Island,11-07-2016 09:32,0
59.13,44,49525.37,106.04,Upgradable Heuristic System Engine,South Lisa,1,Turkey,09-06-2016 17:11,1
81.51,41,53412.32,250.03,Future-Proofed Modular Utilization,Kingshire,0,Guinea,19-05-2016 09:30,0
42.94,37,56681.65,130.4,Synergistic Dynamic Orchestration,Rebeccamouth,1,Moldova,12-04-2016 12:35,1
84.81,32,43299.63,233.93,Multi-Layered Stable Encoding,Brownbury,1,Greece,04-07-2016 23:17,0
82.79,34,47997.75,132.08,Team-Oriented Zero-Defect Initiative,South Aaron,0,American Samoa,01-02-2016 00:52,1
59.22,55,39131.53,126.39,Polarized 5Thgeneration Matrix,North Andrew,1,Honduras,13-01-2016 02:39,1
35,40,46033.73,151.25,Fully-Configurable Context-Sensitive Graphic Interface,South Walter,1,Mongolia,18-06-2016 16:02,1
46.61,42,65856.74,136.18,Progressive Intermediate Throughput,Catherinefort,0,Ethiopia,01-01-2016 20:17,1
63.26,29,54787.37,120.46,Customizable Holistic Archive,East Donna,1,Ethiopia,02-03-2016 04:02,1
79.16,32,69562.46,202.9,Compatible Intermediate Concept,East Timothy,1,Sri Lanka,30-03-2016 20:23,0
67.94,43,68447.17,128.16,Assimilated Next Generation Firmware,North Kimberly,0,Morocco,01-05-2016 00:23,1
79.91,32,62772.42,230.18,Total Zero Administration Software,South Stephanieport,1,United Arab Emirates,17-06-2016 03:02,0
66.14,41,78092.95,165.27,Re-Engineered Impactful Software,North Isabellaville,0,Western Sahara,23-03-2016 08:52,0
43.65,39,63649.04,138.87,Business-Focused Background Synergy,North Aaronburgh,0,Western Sahara,08-05-2016 22:24,1
59.61,21,60637.62,198.45,Future-Proofed Coherent Budgetary Management,Port James,1,Cambodia,06-04-2016 05:55,0
46.61,52,27241.11,156.99,Ergonomic Methodical Encoding,Danielview,0,New Zealand,05-04-2016 05:54,1
89.37,34,42760.22,162.03,Compatible Dedicated Productivity,Port Stacey,1,Australia,16-04-2016 12:26,0
65.1,49,59457.52,118.1,Up-Sized Real-Time Methodology,West Kevinfurt,1,Bulgaria,01-06-2016 03:44,1
53.44,42,42907.89,108.17,Up-Sized Next Generation Architecture,Lake Jennifer,1,Libyan Arab Jamahiriya,04-04-2016 22:00,1
79.53,51,46132.18,244.91,Managed 6Thgeneration Hierarchy,Reyesfurt,0,Barbados,26-06-2016 04:22,0
91.43,39,46964.11,209.91,Organic Motivating Model,West Carmenfurt,1,French Polynesia,07-07-2016 03:55,0
73.57,30,70377.23,212.38,Pre-Emptive Transitional Protocol,North Stephanieberg,0,Uruguay,20-03-2016 08:22,0
78.76,32,70012.83,208.02,Managed Attitude-Oriented Internet Solution,East Valerie,1,Uruguay,20-04-2016 10:04,0
76.49,23,56457.01,181.11,Public-Key Asynchronous Matrix,Sherrishire,0,Brazil,25-03-2016 05:05,0
61.72,26,67279.06,218.49,Grass-Roots Systematic Hardware,Port Daniel,0,Venezuela,14-02-2016 07:15,0
84.53,35,54773.99,236.29,User-Centric Composite Contingency,Brownview,0,Myanmar,26-03-2016 00:32,0
72.03,34,70783.94,230.95,Up-Sized Bi-Directional Infrastructure,Greerton,1,Malta,05-07-2016 22:33,0
77.47,36,70510.59,222.91,Assimilated Actuating Policy,Hatfieldshire,1,Jamaica,14-03-2016 03:29,0
75.65,39,64021.55,247.9,Organized Upward-Trending Contingency,Brianabury,1,Bahrain,30-05-2016 02:34,0
78.15,33,72042.85,194.37,Ergonomic Neutral Portal,New Maria,0,Algeria,07-03-2016 22:32,0
63.8,38,36037.33,108.7,Adaptive Demand-Driven Knowledgebase,Colebury,1,Tuvalu,19-03-2016 00:27,1
76.59,29,67526.92,211.64,Reverse-Engineered Maximized Focus Group,Calebberg,0,Georgia,18-06-2016 05:17,0
42.6,55,55121.65,168.29,Switchable Analyzing Encryption,Lake Ian,0,Cambodia,11-07-2016 18:12,1
78.77,28,63497.62,211.83,Public-Key Intangible Graphical User Interface,Gomezport,0,Guam,01-01-2016 08:27,0
83.4,39,60879.48,235.01,Advanced Local Task-Force,Shaneland,0,Tanzania,07-04-2016 01:57,0
79.53,33,61467.33,236.72,Profound Well-Modulated Array,East Aaron,0,Indonesia,28-02-2016 22:02,0
73.89,35,70495.64,229.99,Multi-Channeled Asymmetric Installation,Dustinborough,1,Somalia,26-06-2016 17:25,0
75.8,36,71222.4,224.9,Multi-Layered Fresh-Thinking Neural-Net,East Michaelland,0,Belize,21-01-2016 04:30,0
81.95,31,64698.58,208.76,Distributed Cohesive Migration,East Connie,1,Serbia,01-05-2016 21:46,0
56.39,58,32252.38,154.23,Programmable Uniform Website,West Shannon,0,Australia,14-02-2016 10:06,1
44.73,35,55316.97,127.56,Object-Based Neutral Policy,North Lauraland,1,Guam,27-01-2016 18:25,1
38.35,33,47447.89,145.48,Horizontal Global Leverage,Port Christopher,1,Christmas Island,16-06-2016 20:24,1
72.53,37,73474.82,223.93,Synchronized Grid-Enabled Moratorium,South Patrickfort,0,Papua New Guinea,21-07-2016 10:01,0
56.2,49,53549.94,114.85,Adaptive Uniform Capability,East Georgeside,1,Bahamas,21-04-2016 18:31,1
79.67,28,58576.12,226.79,Total Grid-Enabled Application,Charlesbury,0,Comoros,20-07-2016 01:56,0
75.42,26,63373.7,164.25,Optional Regional Throughput,Millertown,1,Western Sahara,26-02-2016 17:14,0
78.64,31,60283.47,235.28,Integrated Client-Server Definition,South Renee,1,Nicaragua,16-01-2016 17:56,0
67.69,44,37345.34,109.22,Fundamental Methodical Support,South Jackieberg,0,Guam,01-04-2016 01:57,1
38.35,41,34886.01,144.69,Synergistic Reciprocal Attitude,Loriville,1,Vanuatu,24-06-2016 08:42,1
59.52,44,67511.86,251.08,Managed 5Thgeneration Time-Frame,Amandaland,1,Bolivia,27-05-2016 18:45,0
62.26,37,77988.71,166.19,Vision-Oriented Uniform Knowledgebase,West Robertside,0,Malawi,26-05-2016 15:40,0
64.75,36,63001.03,117.66,Multi-Tiered Stable Leverage,North Sarashire,0,Venezuela,06-04-2016 01:19,1
79.97,26,61747.98,185.45,Down-Sized Explicit Budgetary Management,Port Maria,1,Nepal,08-01-2016 19:38,0
47.9,42,48467.68,114.53,Cross-Group Human-Resource Time-Frame,East Jessefort,0,United Kingdom,24-02-2016 19:08,1
80.38,30,55130.96,238.06,Business-Focused Holistic Benchmark,Port Anthony,0,Albania,10-03-2016 07:07,0
64.51,42,79484.8,190.71,Virtual 5Thgeneration Neural-Net,Edwardmouth,1,Madagascar,29-04-2016 07:49,0
71.28,37,67307.43,246.72,Distributed Scalable Orchestration,Dustinchester,1,Guyana,10-04-2016 16:08,0
50.32,40,27964.6,125.65,Realigned Intangible Benchmark,Rochabury,0,Yemen,27-04-2016 18:25,1
72.76,33,66431.87,240.63,Virtual Impactful Algorithm,Williamsport,1,India,10-05-2016 04:28,0
72.8,35,63551.67,249.54,Public-Key Solution-Oriented Focus Group,Austinland,0,Puerto Rico,03-01-2016 23:21,0
74.59,23,40135.06,158.35,Phased Clear-Thinking Encoding,Lake Gerald,1,United States Virgin Islands,15-02-2016 16:52,1
46.66,45,49101.67,118.16,Grass-Roots Mission-Critical Emulation,Wrightview,0,Antigua and Barbuda,09-03-2016 02:07,1
48.86,54,53188.69,134.46,Proactive Encompassing Paradigm,Perryburgh,0,French Guiana,09-01-2016 17:33,1
37.05,39,49742.83,142.81,Automated Object-Oriented Firmware,Tracyhaven,1,Antigua and Barbuda,03-02-2016 05:47,1
81.21,36,63394.41,233.04,User-Friendly Content-Based Customer Loyalty,South Jaimeview,0,Turkmenistan,02-01-2016 09:30,0
66.89,23,64433.99,208.24,Universal Incremental Array,Sandersland,1,Honduras,04-01-2016 07:28,0
68.11,38,73884.48,231.21,Reactive National Success,South Meredithmouth,0,Seychelles,07-01-2016 21:21,0
69.15,46,36424.94,112.72,Automated Multi-State Toolset,Richardsonshire,0,Cyprus,24-07-2016 00:22,1
65.72,36,28275.48,120.12,Managed Didactic Flexibility,Kimberlymouth,0,Saint Pierre and Miquelon,13-02-2016 13:57,1
40.04,27,48098.86,161.58,Cross-Platform Neutral System Engine,Meghanchester,0,Poland,08-05-2016 10:25,1
68.6,33,68448.94,135.08,Focused High-Level Frame,Tammyshire,0,Taiwan,17-02-2016 18:50,1
56.16,25,66429.84,164.25,Seamless Motivating Approach,Millerbury,1,Cote d'Ivoire,22-01-2016 19:43,1
78.6,46,41768.13,254.59,Enhanced Systematic Adapter,Lake Elizabethside,1,Micronesia,20-07-2016 13:21,0
78.29,38,57844.96,252.07,Networked Regional Local Area Network,Villanuevaton,0,Liberia,05-01-2016 20:58,0
43.83,45,35684.82,129.01,Total Human-Resource Flexibility,Greerport,0,Saudi Arabia,29-01-2016 05:39,1
77.31,32,62792.43,238.1,Assimilated Homogeneous Service-Desk,North Garyhaven,0,Nepal,17-06-2016 20:18,0
39.86,28,51171.23,161.24,Ergonomic Zero Tolerance Encoding,East Sharon,0,Ghana,23-02-2016 13:55,1
66.77,25,58847.07,141.13,Cross-Platform Zero-Defect Structure,Johnstonmouth,0,Iran,09-07-2016 11:18,1
57.2,42,57739.03,110.66,Innovative Maximized Groupware,East Heatherside,0,New Zealand,19-03-2016 11:09,1
73.15,25,64631.22,211.12,Face-To-Face Executive Encryption,Lake Patrick,1,Libyan Arab Jamahiriya,29-01-2016 07:14,0
82.07,24,50337.93,193.97,Monitored Local Internet Solution,Richardsonmouth,0,Sri Lanka,14-06-2016 07:02,0
49.84,38,67781.31,135.24,Phased Hybrid Superstructure,Jenniferhaven,1,United Arab Emirates,18-05-2016 03:19,1
43.97,36,68863.95,156.97,User-Friendly Grid-Enabled Analyzer,Boyerberg,1,Indonesia,30-01-2016 09:54,1
77.25,27,55901.12,231.38,Pre-Emptive Neutral Contingency,Port Elijah,1,Saint Vincent and the Grenadines,25-04-2016 16:58,0
74.84,37,64775.1,246.44,User-Friendly Impactful Time-Frame,Knappburgh,1,Mongolia,14-01-2016 16:30,0
83.53,36,67686.16,204.56,Customizable Methodical Graphical User Interface,New Dawnland,0,Honduras,06-07-2016 05:34,0
38.63,48,57777.11,222.11,Cross-Platform Logistical Pricing Structure,Chapmanmouth,0,Papua New Guinea,07-04-2016 10:51,1
84,48,46868.53,136.21,Inverse Discrete Extranet,Robertside,1,Kyrgyz Republic,17-04-2016 05:08,1
52.13,50,40926.93,118.27,Open-Source Even-Keeled Database,West Raymondmouth,1,Ethiopia,28-01-2016 17:03,1
71.83,40,22205.74,135.48,Diverse Background Ability,Costaburgh,1,Rwanda,18-02-2016 22:42,1
78.36,24,58920.44,196.77,Multi-Tiered Foreground Graphic Interface,Kristineberg,1,Kyrgyz Republic,24-06-2016 21:09,0
50.18,35,63006.14,127.82,Customizable Hybrid System Engine,Sandrashire,1,Grenada,20-06-2016 04:24,1
64.67,51,24316.61,138.35,Horizontal Incremental Website,Andersonfurt,1,Togo,14-02-2016 16:33,1
69.5,26,68348.99,203.84,Front-Line Systemic Capability,Tranland,0,Pakistan,27-02-2016 13:51,0
65.22,30,66263.37,240.09,Fully-Configurable Foreground Solution,Michaelland,1,Falkland Islands (Malvinas),07-05-2016 15:16,0
62.06,40,63493.6,116.27,Digitized Radical Array,East Rachaelfurt,1,Jersey,16-03-2016 20:10,1
84.29,30,56984.09,160.33,Team-Oriented Transitional Methodology,Lake Johnbury,1,Cayman Islands,26-06-2016 02:06,1
32.91,37,51691.55,181.02,Future-Proofed Fresh-Thinking Conglomeration,Elizabethstad,0,South Africa,17-07-2016 14:26,1
39.5,31,49911.25,148.19,Operative Multi-Tasking Graphic Interface,West Brad,1,Micronesia,28-01-2016 16:42,1
75.19,31,33502.57,245.76,Implemented Discrete Frame,Johnstonshire,1,Tajikistan,16-06-2016 18:04,0
76.21,31,65834.97,228.94,Ameliorated Exuding Encryption,Lake Timothy,1,Bolivia,19-06-2016 23:21,0
67.76,31,66176.97,242.59,Programmable High-Level Benchmark,Anthonyfurt,0,Cameroon,24-05-2016 17:42,0
40.01,53,51463.17,161.77,Sharable Multimedia Conglomeration,East Brettton,0,Ecuador,01-03-2016 22:06,1
52.7,41,41059.64,109.34,Team-Oriented High-Level Orchestration,New Matthew,1,Zambia,31-01-2016 08:50,1
68.41,38,61428.18,259.76,Grass-Roots Empowering Paradigm,Christopherchester,0,Guinea-Bissau,30-04-2016 15:27,0
35.55,39,51593.46,151.18,Robust Object-Oriented Graphic Interface,Westshire,0,Micronesia,13-01-2016 20:38,1
74.54,24,57518.73,219.75,Switchable Secondary Ability,Alexisland,0,Bahamas,30-03-2016 16:15,0
81.75,24,52656.13,190.08,Open-Architected Web-Enabled Benchmark,Kevinchester,1,Cape Verde,29-04-2016 18:53,0
87.85,31,52178.98,210.27,Compatible Scalable Emulation,New Patriciashire,1,French Polynesia,14-06-2016 19:48,0
60.23,60,46239.14,151.54,Seamless Optimal Contingency,Port Brenda,1,Saudi Arabia,15-07-2016 15:43,1
87.97,35,48918.55,149.25,Secured Secondary Superstructure,Port Brianfort,1,France,24-03-2016 05:38,0
78.17,27,65227.79,192.27,Automated Mobile Model,Portermouth,1,Burundi,26-04-2016 20:57,0
67.91,23,55002.05,146.8,Re-Engineered Non-Volatile Neural-Net,Hubbardmouth,1,Latvia,12-01-2016 03:28,1
85.77,27,52261.73,191.78,Implemented Disintermediate Attitude,South Brian,1,Morocco,09-04-2016 23:26,0
41.16,49,59448.44,150.83,Configurable Interactive Contingency,Hendrixmouth,1,Venezuela,28-03-2016 09:15,1
53.54,39,47314.45,108.03,Optimized Systemic Capability,Julietown,0,Palau,23-06-2016 11:05,1
73.94,26,55411.06,236.15,Front-Line Non-Volatile Implementation,Lukeport,1,Isle of Man,24-01-2016 01:53,0
63.43,29,66504.16,236.75,Ergonomic 24/7 Solution,New Shane,1,Peru,15-04-2016 10:18,0
84.59,36,47169.14,241.8,Integrated Grid-Enabled Budgetary Management,Lake Jillville,1,Belgium,26-04-2016 13:13,0
70.13,31,70889.68,224.98,Profit-Focused Systemic Support,Johnsonfort,0,Croatia,16-05-2016 23:21,0
40.19,37,55358.88,136.99,Right-Sized System-Worthy Project,Adamsbury,0,France,18-01-2016 02:51,1
58.95,55,56242.7,131.29,Proactive Actuating Graphical User Interface,East Maureen,1,Slovenia,20-06-2016 08:34,1
35.76,51,45522.44,195.07,Versatile Optimizing Projection,North Angelastad,0,Peru,18-07-2016 04:53,1
59.36,49,46931.03,110.84,Universal Multi-State System Engine,Amandafort,0,Belarus,01-07-2016 01:12,1
91.1,40,55499.69,198.13,Secured Intermediate Approach,Michaelmouth,1,Bolivia,07-03-2016 22:51,0
61.04,41,75805.12,149.21,Operative Didactic Local Area Network,Ronaldport,0,Benin,02-05-2016 15:31,1
74.06,23,40345.49,225.99,Phased Content-Based Middleware,Port Davidland,0,Wallis and Futuna,23-07-2016 06:18,0
64.63,45,15598.29,158.8,Triple-Buffered High-Level Internet Solution,Isaacborough,1,Azerbaijan,12-06-2016 03:11,1
81.29,28,33239.2,219.72,Synergized Well-Modulated Graphical User Interface,Lake Michael,0,Mongolia,15-02-2016 20:41,0
76.07,36,68033.54,235.56,Implemented Bottom-Line Implementation,West Michaelshire,0,Denmark,23-01-2016 01:42,0
75.92,22,38427.66,182.65,Monitored Context-Sensitive Initiative,Port Calvintown,0,Russian Federation,26-02-2016 01:18,0
78.35,46,53185.34,253.48,Pre-Emptive Client-Server Open System,Parkerhaven,0,Brazil,11-01-2016 02:07,0
46.14,28,39723.97,137.97,Seamless Bandwidth-Monitored Knowledge User,Markhaven,1,Ethiopia,04-04-2016 13:56,1
44.33,41,43386.07,120.63,Ergonomic Empowering Frame,Estradashire,0,Guyana,14-01-2016 09:27,1
46.43,28,53922.43,137.2,Reverse-Engineered Background Graphic Interface,Brianland,1,Ethiopia,25-04-2016 03:18,1
66.04,27,71881.84,199.76,Synergistic Non-Volatile Analyzer,Cassandratown,0,Mauritius,05-03-2016 23:02,0
84.31,29,47139.21,225.87,Object-Based Optimal Solution,West Dannyberg,0,Djibouti,06-01-2016 21:43,0
83.66,38,68877.02,175.14,Profound Dynamic Attitude,East Debraborough,0,Syrian Arab Republic,18-02-2016 03:58,0
81.25,33,65186.58,222.35,Enhanced System-Worthy Toolset,Frankchester,1,Saint Martin,16-04-2016 14:15,0
85.26,32,55424.24,224.07,Reverse-Engineered Dynamic Function,Lisafort,1,Netherlands Antilles,24-02-2016 06:18,0
86.53,46,46500.11,233.36,Networked Responsive Application,Colemanshire,0,Greece,29-06-2016 01:19,0
76.44,26,58820.16,224.2,Distributed Intangible Database,Troyville,1,Madagascar,05-01-2016 06:34,0
52.84,43,28495.21,122.31,Multi-Tiered Mobile Encoding,Hobbsbury,0,Senegal,16-07-2016 10:14,1
85.24,31,61840.26,182.84,Optional Contextually-Based Flexibility,Harrisonmouth,1,Burkina Faso,17-06-2016 03:23,0
74.71,46,37908.29,258.06,Proactive Local Focus Group,Port Eugeneport,1,Czech Republic,13-06-2016 11:06,0
82.95,39,69805.7,201.29,Customer-Focused Impactful Success,Karenmouth,0,Lao People's Democratic Republic,05-04-2016 08:18,0
76.42,26,60315.19,223.16,Open-Source Optimizing Parallelism,Brendaburgh,1,Netherlands Antilles,17-04-2016 18:38,0
42.04,49,67323,182.11,Organic Logistical Adapter,New Christinatown,0,Qatar,03-02-2016 16:54,1
46.28,26,50055.33,228.78,Stand-Alone Eco-Centric System Engine,Jacksonstad,1,Andorra,18-04-2016 21:07,1
48.26,50,43573.66,122.45,User-Centric Intermediate Knowledge User,South Margaret,1,Liechtenstein,18-06-2016 22:31,1
71.03,55,28186.65,150.77,Programmable Didactic Capacity,Port Georgebury,0,China,12-03-2016 07:18,1
81.37,33,66412.04,215.04,Enhanced Regional Conglomeration,New Jessicaport,0,Vietnam,15-01-2016 01:20,0
58.05,32,15879.1,195.54,Total Asynchronous Architecture,Sanderstown,1,Tajikistan,12-02-2016 10:39,1
75,29,63965.16,230.36,Secured Upward-Trending Benchmark,Perezland,1,Eritrea,16-02-2016 02:29,0
79.61,31,58342.63,235.97,Customizable Value-Added Project,Luisfurt,0,Monaco,04-04-2016 21:23,0
52.56,31,33147.19,250.36,Integrated Interactive Support,New Karenberg,1,Israel,24-04-2016 01:48,1
62.18,33,65899.68,126.44,Reactive Impactful Challenge,West Leahton,0,Hungary,20-05-2016 00:00,1
77.89,26,64188.5,201.54,Switchable Multi-State Success,West Sharon,0,Singapore,15-05-2016 03:10,0
66.08,61,58966.22,184.23,Synchronized Multi-Tasking Ability,Klineside,1,Cuba,07-01-2016 23:02,1
89.21,33,44078.24,210.53,Fundamental Clear-Thinking Knowledgebase,Lake Cynthia,0,Reunion,19-07-2016 12:05,0
49.96,55,60968.62,151.94,Multi-Layered User-Facing Parallelism,South Cynthiashire,1,Zambia,04-04-2016 00:02,1
77.44,28,65620.25,210.39,Front-Line Incremental Access,Lake Jacob,0,Gabon,10-06-2016 04:21,0
82.58,38,65496.78,225.23,Open-Architected Zero Administration Secured Line,West Samantha,1,Dominica,11-03-2016 14:50,0
39.36,29,52462.04,161.79,Mandatory Disintermediate Info-Mediaries,Jeremybury,1,Bahamas,14-01-2016 20:58,1
47.23,38,70582.55,149.8,Implemented Context-Sensitive Local Area Network,Blevinstown,1,Tokelau,22-06-2016 05:22,1
87.85,34,51816.27,153.01,Digitized Interactive Initiative,Meyerchester,0,Turkmenistan,19-03-2016 08:00,0
65.57,46,23410.75,130.86,Implemented Asynchronous Application,Reginamouth,0,Belgium,15-04-2016 15:07,1
78.01,26,62729.4,200.71,Focused Multi-State Workforce,Donaldshire,1,French Guiana,28-03-2016 02:29,0
44.15,28,48867.67,141.96,Proactive Secondary Monitoring,Salazarbury,1,Martinique,22-01-2016 15:03,1
43.57,36,50971.73,125.2,Front-Line Upward-Trending Groupware,Lake Joshuafurt,1,French Polynesia,25-06-2016 17:33,1
76.83,28,67990.84,192.81,Quality-Focused 5Thgeneration Orchestration,Wintersfort,0,Ecuador,04-03-2016 14:33,0
42.06,34,43241.19,131.55,Multi-Layered Secondary Software,Jamesmouth,0,Puerto Rico,29-06-2016 02:48,1
76.27,27,60082.66,226.69,Total Coherent Superstructure,Laurieside,1,United Arab Emirates,18-06-2016 01:42,0
74.27,37,65180.97,247.05,Monitored Executive Architecture,Andrewmouth,1,Burkina Faso,31-01-2016 09:57,0
73.27,28,67301.39,216.24,Front-Line Multi-State Hub,West Angela,1,Luxembourg,22-05-2016 15:17,0
74.58,36,70701.31,230.52,Configurable Mission-Critical Algorithm,East Carlos,0,Jamaica,22-07-2016 11:05,0
77.5,28,60997.84,225.34,Face-To-Face Responsive Alliance,Kennedyfurt,1,Antarctica (the territory South of 60 deg S),13-07-2016 14:05,0
87.16,33,60805.93,197.15,Reduced Holistic Help-Desk,Blairville,0,China,11-02-2016 11:50,0
87.16,37,50711.68,231.95,Pre-Emptive Content-Based Frame,East Donnatown,1,Western Sahara,16-03-2016 20:33,0
66.26,47,14548.06,179.04,Optional Full-Range Projection,Matthewtown,1,Lebanon,25-04-2016 19:31,1
65.15,29,41335.84,117.3,Expanded Value-Added Emulation,Brandonbury,0,Hong Kong,14-07-2016 22:43,1
68.25,33,76480.16,198.86,Organic Well-Modulated Database,New Jamestown,1,Vanuatu,30-05-2016 08:02,0
73.49,38,67132.46,244.23,Organic 3Rdgeneration Encryption,Mosleyburgh,0,Vanuatu,14-02-2016 11:36,0
39.19,54,52581.16,173.05,Stand-Alone Empowering Benchmark,Leahside,0,Guatemala,23-01-2016 21:15,1
80.15,25,55195.61,214.49,Monitored Intermediate Circuit,West Wendyland,0,Greenland,18-07-2016 02:51,0
86.76,28,48679.54,189.91,Object-Based Leadingedge Complexity,Lawrenceborough,0,Syrian Arab Republic,10-02-2016 08:21,0
73.88,29,63109.74,233.61,Digitized Zero-Defect Implementation,Kennethview,0,Saint Helena,04-01-2016 06:37,0
58.6,19,44490.09,197.93,Configurable Impactful Firmware,West Mariafort,1,Lebanon,05-06-2016 21:38,0
69.77,54,57667.99,132.27,Face-To-Face Dedicated Flexibility,Port Sherrystad,0,Malta,01-06-2016 03:17,1
87.27,30,51824.01,204.27,Fully-Configurable 5Thgeneration Circuit,West Melissashire,1,Christmas Island,06-03-2016 06:51,1
77.65,28,66198.66,208.01,Configurable Impactful Capacity,Pamelamouth,0,Ukraine,26-02-2016 19:35,0
76.02,40,73174.19,219.55,Distributed Leadingedge Orchestration,Lesliefort,0,Malta,13-07-2016 14:30,0
78.84,26,56593.8,217.66,Persistent Even-Keeled Application,Shawnside,1,Italy,29-06-2016 07:20,0
71.33,23,31072.44,169.4,Optimized Attitude-Oriented Initiative,Josephmouth,0,Japan,15-03-2016 06:54,1
81.9,41,66773.83,225.47,Multi-Channeled 3Rdgeneration Model,Garciatown,0,Mauritius,11-06-2016 06:47,0
46.89,48,72553.94,176.78,Polarized Mission-Critical Structure,Chaseshire,1,Turkey,17-07-2016 13:22,1
